Date,Time,Pump Temp
9/1/2015,1079,190.77
9/1/2015,1139,191.16
9/1/2015,1199,190.66
9/1/2015,1259,189.94
9/1/2015,1319,188.39
9/1/2015,1379,191.31
9/1/2015,1439,190.3
10/1/2015,59,189.91
10/1/2015,119,190.06
10/1/2015,179,189.65
10/1/2015,239,189.82
10/1/2015,299,190.45
10/1/2015,359,191.97
10/1/2015,419,191.29
10/1/2015,479,190.42
10/1/2015,539,190.19
10/1/2015,599,192.23
10/1/2015,659,190.75
10/1/2015,719,190.16
10/1/2015,779,189.52
10/1/2015,839,190.33
10/1/2015,899,188.84
10/1/2015,959,191.01
10/1/2015,1019,190.17
10/1/2015,1079,190.11
10/1/2015,1139,189.82
10/1/2015,1199,188.74
10/1/2015,1259,188.61
10/1/2015,1319,188.11
10/1/2015,1379,187.78
10/1/2015,1439,186.76
11/1/2015,59,187.36
11/1/2015,119,188.15
11/1/2015,179,187.16
11/1/2015,239,187.42
11/1/2015,299,188.77
11/1/2015,359,187.33
11/1/2015,419,187.99
11/1/2015,479,186.88
11/1/2015,539,187.57
11/1/2015,599,185.99
11/1/2015,659,186.7
11/1/2015,719,186.2
11/1/2015,779,185.34
11/1/2015,839,187.51
11/1/2015,899,186.71
11/1/2015,959,186.51
11/1/2015,1019,187.27
11/1/2015,1079,186.67
11/1/2015,1139,186.86
11/1/2015,1199,187.82
11/1/2015,1259,187.19
11/1/2015,1319,185.58
11/1/2015,1379,186.64
11/1/2015,1439,187.07
12/1/2015,59,186.58
12/1/2015,119,185.9
12/1/2015,179,186.85
12/1/2015,239,187.12
12/1/2015,299,188.38
12/1/2015,359,187.68
12/1/2015,419,186.97
12/1/2015,479,186.35
12/1/2015,539,185.85
12/1/2015,599,185.43
12/1/2015,659,185.26
12/1/2015,719,188.19
12/1/2015,779,188.2
12/1/2015,839,188.66
12/1/2015,899,188.54
12/1/2015,959,187.2
12/1/2015,1019,188.57
12/1/2015,1079,188.1
12/1/2015,1139,187.64
12/1/2015,1199,188.51
12/1/2015,1259,187.62
12/1/2015,1319,188.85
